Species,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,male_maturity_d,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d
Accipiter_albogularis,NA,NA,NA,251.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352.5,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_badius,363.468,3.25,1,140,NA,NA,NA,NA,NA,21,30,32,NA,NA,NA,168.5,125,123,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA
Accipiter_bicolor,NA,2.7,NA,345,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,390,212,NA,NA,NA,NA,39.5,NA,NA,NA,NA,NA,NA,NA
Accipiter_brachyurus,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_brevipes,363.468,4,1,203.5,NA,NA,NA,NA,NA,21.85,32.5,42.5,NA,NA,NA,230.5,170,NA,NA,NA,NA,33.5,NA,NA,NA,NA,NA,NA,NA
Accipiter_castanilius,NA,NA,NA,159.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,142.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_chilensis,NA,2.7,NA,345,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,377,212,NA,NA,NA,NA,39.5,NA,NA,NA,NA,NA,NA,NA
Accipiter_chionogaster,547.875,4.25,1,138.5,19.9,NA,NA,NA,NA,19.3,33,24.25,12.58333333,365,NA,174,103,138.5,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA
Accipiter_cirrocephalus,NA,3.25,NA,180,NA,NA,NA,NA,NA,20.75,NA,NA,NA,NA,NA,231,127.25,NA,NA,NA,NA,32.5,NA,NA,NA,NA,NA,NA,NA
Accipiter_cooperii,730,4.35,1,452,20.33333333,NA,NA,28,NA,40,29.75,32,12,730,NA,529,338.5,452,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA
Accipiter_erythrauchen,NA,NA,NA,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_erythronemius,547.875,4.25,1,138.5,19.9,NA,NA,NA,NA,19.3,33,24.25,12.58333333,365,NA,174,103,138.5,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA
Accipiter_erythropus,NA,2,NA,107,NA,NA,NA,NA,NA,20.5,NA,NA,NA,NA,NA,146,84.7,NA,NA,NA,NA,24.5,NA,NA,NA,NA,NA,NA,NA
Accipiter_fasciatus,NA,3,NA,453.5,NA,NA,NA,NA,NA,31,30,30,NA,NA,NA,499.375,303.25,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
Accipiter_francesiae,NA,3,NA,135.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.25,119.5,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA
Accipiter_gentilis,636.835,3.5,1,988.75,22,NA,NA,37,NA,58,34.75,41.65,17.70833333,730,NA,1117.333334,734,924.5,NA,NA,NA,54.5,NA,NA,NA,NA,NA,NA,NA
Accipiter_griseiceps,NA,NA,NA,255.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_gularis,NA,3.2,NA,118.75,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,140.75,103.5,NA,NA,NA,NA,28.25,NA,NA,NA,NA,NA,NA,NA
Accipiter_gundlachi,NA,3.75,NA,675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA
Accipiter_haplochrous,NA,3,NA,240.5,NA,NA,NA,NA,NA,25.5,NA,NA,NA,NA,NA,254,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_henstii,NA,2,NA,1050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA
Accipiter_hiogaster,NA,2.725,NA,342.75,NA,NA,NA,NA,NA,40.5,NA,NA,NA,NA,NA,597.25,261.375,354,NA,NA,NA,49.5,NA,NA,NA,NA,NA,NA,NA
Accipiter_imitator,NA,NA,NA,237.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_luteoschistaceus,NA,NA,NA,213.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_madagascariensis,NA,3,NA,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.5,156,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA
Accipiter_melanochlamys,NA,NA,NA,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,NA,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_melanoleucus,1090.404,2.8,1,701.8833333,10,NA,NA,NA,NA,50.75,37.5,40,7.5,NA,NA,865,550,699.15,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA
Accipiter_meyerianus,NA,3,NA,815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_minullus,363.468,2,NA,84.05,NA,NA,NA,NA,NA,17.95,31.5,25.5,NA,NA,NA,97.25,80.9,NA,NA,NA,NA,22.5,NA,NA,NA,NA,NA,NA,NA
Accipiter_nisus,365,4.75,1,212,20.25,NA,NA,13.8,NA,22.5,34,26.5,17.89166667,365,NA,290,147,169.5,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA
Accipiter_novaehollandiae,NA,2.725,NA,479.5833333,NA,NA,NA,NA,NA,40.5,NA,NA,NA,NA,NA,716,312,354,NA,NA,NA,49.5,NA,NA,NA,NA,NA,NA,NA
Accipiter_ovampensis,NA,3,NA,199.1666667,NA,NA,NA,NA,NA,NA,33,33,NA,NA,NA,260,140,195,NA,NA,NA,34.5,NA,NA,NA,NA,NA,NA,NA
Accipiter_poliocephalus,NA,1,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,253,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_rhodogaster,NA,NA,NA,188.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_rufitorques,NA,2.7,NA,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA
Accipiter_rufiventris,NA,3,NA,198,NA,NA,NA,NA,NA,23,NA,29,NA,NA,NA,NA,NA,198,NA,NA,NA,32.5,NA,NA,NA,NA,NA,NA,NA
Accipiter_soloensis,726.936,3.5,NA,161,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,192.5,149.5,NA,NA,NA,NA,27.5,NA,NA,NA,NA,NA,NA,NA
Accipiter_striatus,547.875,4.25,1,138.5,19.9,NA,NA,NA,NA,19.3,33,24.25,12.58333333,365,NA,174,103,138.5,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA
Accipiter_superciliosus,NA,1.85,NA,73.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,73.875,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA
Accipiter_tachiro,NA,2.45,1.5,298.5,NA,NA,NA,NA,NA,34,29,32,NA,NA,NA,340.5,203.5,341.85,NA,NA,NA,38.5,NA,NA,NA,NA,NA,NA,NA
Accipiter_toussenelii,NA,2.45,1.5,298.5,NA,NA,NA,NA,NA,34,29,32,NA,NA,NA,340.5,203.5,341.85,NA,NA,NA,38.5,NA,NA,NA,NA,NA,NA,NA
Accipiter_trinotatus,NA,NA,NA,146.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter_trivirgatus,NA,2,NA,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,353,199,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA
Accipiter_ventralis,547.875,4.25,1,138.5,19.9,NA,NA,NA,NA,19.3,33,24.25,12.58333333,365,NA,174,103,138.5,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA
Accipiter_virgatus,NA,3.5,NA,113.5,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,141.5,101.825,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA
Aegypius_monachus,1999.074,1,1,9625,39,NA,NA,NA,NA,243,53.5,112.5,32.25,NA,NA,10000,9250,8200,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,NA
Aegypius_occipitalis,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA
Aquila_adalberti,1767.453,2.5,1,3262,56,NA,NA,78,NA,132,43,71,44.5,NA,NA,3873,2624,3000,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA
Aquila_africana,NA,NA,NA,1060.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1153,993.75,1046.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aquila_audax,1638.279,2,2,3466,40,NA,NA,NA,NA,143,43,79,33.2,1095.75,1,3855,3041.5,3402,NA,NA,NA,95.5,NA,NA,NA,NA,NA,NA,1095.75
Aquila_ayresii,NA,1.5,1,812,NA,NA,NA,NA,NA,72,45,75,NA,NA,NA,910,714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aquila_chrysaetos,1460,2,1,4383,48,NA,NA,104.05,NA,142,44,74.5,32,1460,NA,4692.25,3708.25,3640.75,NA,NA,3518,78,NA,NA,NA,NA,NA,NA,NA
Aquila_fasciata,1090.404,2,1,2000,20,NA,NA,NA,NA,112,39.25,62.5,20,NA,NA,2500,1560,2049,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA
Aquila_gurneyi,NA,NA,NA,3060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aquila_heliaca,1635.606,2.5,1,3262,56,NA,NA,78,NA,132.25,43,70.5,56,NA,NA,3845,2949,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA
Aquila_nipalensis,1453.872,2,1,2534.5,42.5,NA,NA,92.5,NA,117,44.5,84,40.65,NA,NA,2987,2333,2486.5,NA,NA,NA,68.25,NA,NA,NA,NA,NA,NA,NA
Aquila_rapax,1453.872,2,1,2347,42.5,NA,NA,92.5,NA,105.4,44.5,84,40.3,NA,NA,2405.5,2034.6,2486.5,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA
Aquila_spilogaster,1453.872,2,1,1413.833333,NA,NA,NA,NA,NA,87,43,69,NA,NA,NA,1631,1318,1420,NA,NA,NA,58.5,NA,NA,NA,NA,NA,NA,NA
Aquila_verreauxii,1817.34,2,1,4195,40,NA,NA,95,NA,147.5,44.5,94,40,NA,NA,4355.5,3665,4195,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA
Aviceda_cuculoides,NA,2,1,275.75,NA,NA,NA,NA,NA,31.4,32.5,29,NA,NA,NA,NA,NA,275.75,NA,NA,NA,40.5,NA,NA,NA,NA,NA,NA,NA
Aviceda_jerdoni,NA,2.7,NA,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,NA,NA,NA,NA,44.5,NA,NA,NA,NA,NA,NA,NA
Aviceda_leuphotes,NA,2.7,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,NA,NA,NA,31.5,NA,NA,NA,NA,NA,NA,NA
Aviceda_subcristata,NA,2.5,NA,328,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,346.875,308.75,NA,NA,NA,NA,40.5,NA,NA,NA,NA,NA,NA,NA
Busarellus_nigricollis,NA,1.75,NA,614,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,956,613.5,NA,NA,NA,NA,52.5,NA,NA,NA,NA,NA,NA,NA
Butastur_indicus,726.936,3,NA,402,8.5,NA,NA,NA,NA,42,NA,35,8.5,NA,NA,433,400.5,NA,NA,NA,NA,44.5,NA,NA,NA,NA,NA,NA,NA
Butastur_liventer,NA,2.7,NA,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA
Butastur_rufipennis,NA,2,NA,335,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,344,326,NA,NA,NA,NA,41.5,NA,NA,NA,NA,NA,NA,NA
Butastur_teesa,NA,3,NA,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,NA,NA,NA,40.5,NA,NA,NA,NA,NA,NA,NA
Buteo_albigula,726.936,2,NA,495,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,583,432.5,NA,NA,NA,NA,40.5,NA,NA,NA,NA,NA,NA,NA
Buteo_albonotatus,NA,2,NA,757,NA,NA,NA,NA,NA,58,35,38.5,NA,NA,NA,886,628,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA
Buteo_archeri,1090.404,2,1,1062.333333,NA,NA,NA,30,NA,71,39.5,48.5,NA,NA,NA,1330,988,1064,NA,NA,NA,50.5,NA,NA,NA,NA,NA,NA,NA
Buteo_augur,1090.404,2,1,1060.666667,NA,NA,NA,30,NA,68,39.5,48.5,NA,NA,NA,1165,988,1064,NA,NA,NA,51.5,NA,NA,NA,NA,NA,NA,NA
Buteo_auguralis,NA,2.5,NA,670,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,760,580,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA
Buteo_bannermani,730,3,1,990.5,28.8,NA,NA,36,NA,60.7,34,41,25.33333333,730,NA,1141.5,805,759,NA,NA,NA,49.25,NA,NA,NA,NA,NA,NA,NA
Buteo_brachypterus,NA,2,NA,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,511,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
Buteo_brachyurus,726.936,2,NA,495,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,583,432.5,NA,NA,NA,NA,40.5,NA,NA,NA,NA,NA,NA,NA
Buteo_burmanicus,910.202,3,1,878.25,28.8,NA,NA,36,NA,58.5,35,36.75,25.33666667,730,NA,945.75,781,759,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA
Buteo_buteo,910.202,3,1,878.25,28.8,NA,NA,36,NA,58.5,35,36.75,25.33666667,730,NA,945.75,781,759,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA
Buteo_galapagoensis,NA,2.35,NA,1163.333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1365.333333,961.3333333,NA,NA,NA,NA,50.5,NA,NA,NA,NA,NA,NA,NA
Buteo_hemilasius,726.936,3,1,1342.5,NA,NA,NA,NA,NA,79,30,45,NA,NA,NA,1562.5,1175,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA
Buteo_jamaicensis,730,2.75,1,1126,30.66666667,NA,NA,57.6,NA,68,31,45.25,25.5,730,NA,1224,1028,1053.9,NA,NA,NA,51.5,NA,NA,NA,NA,NA,NA,NA
Buteo_japonicus,910.202,3,1,878.25,28.8,NA,NA,36,NA,58.5,35,36.75,25.33666667,730,NA,945.75,781,759,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA
Buteo_lagopus,728.468,4,1,945.5,18.8,NA,NA,42.31,NA,61.5,29.25,41,17.9,730,NA,1051.5,847,951,NA,NA,NA,53.5,NA,NA,NA,NA,NA,NA,NA
Buteo_lineatus,545.968,3.2,1,616,22.41666667,NA,NA,35,NA,57,33,42,20,365,NA,676.75,539,641.5,NA,NA,NA,42.5,NA,NA,NA,NA,NA,NA,NA
Buteo_nitidus,726.936,2,NA,510.5833333,NA,NA,NA,NA,NA,43.2,32,42,NA,NA,NA,624,429.75,465,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA
Buteo_oreophilus,NA,2,NA,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,NA,NA,NA,44.5,NA,NA,NA,NA,NA,NA,NA
Buteo_plagiatus,726.936,2,NA,510.5833333,NA,NA,NA,NA,NA,43.2,32,42,NA,NA,NA,624,429.75,465,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA
Buteo_platypterus,584.4,2.5,1,437,18.33333333,NA,NA,28,NA,41.75,29.5,39.75,16.32,365,NA,490,420,397,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA
Buteo_regalis,730,3.75,1,1469.5,23.7,NA,NA,51.6,NA,80,33.25,46,20,730,NA,1775,1162.5,1469.5,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA
Buteo_ridgwayi,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA
Buteo_rufinus,726.936,3.25,1,1174.5,8.5,NA,NA,NA,NA,73,33,46.5,8.5,NA,NA,1314,1035,NA,NA,NA,NA,52.5,NA,NA,NA,NA,NA,NA,NA
Buteo_rufofuscus,1090.404,2,1,1062.333333,NA,NA,NA,30,NA,71,39.5,48.5,NA,NA,NA,1330,988,1064,NA,NA,NA,50.5,NA,NA,NA,NA,NA,NA,NA
Buteo_socotraensis,726.936,3.25,1,1174.5,8.5,NA,NA,NA,NA,73,33,46.5,8.5,NA,NA,1314,1035,NA,NA,NA,NA,52.5,NA,NA,NA,NA,NA,NA,NA
Buteo_solitarius,1095.7275,1,0.5,505,17,NA,NA,35,NA,62,38,61,17,NA,NA,606,414,NA,43.35,56.3,499.15,41.5,NA,NA,NA,NA,NA,NA,NA
Buteo_swainsoni,730,2.5,1,969.57,24.08333333,NA,NA,39.4,NA,61,32.75,43,16,730,NA,1109,811.25,958.5,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA
Buteo_trizonatus,NA,2,NA,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,NA,NA,NA,44.5,NA,NA,NA,NA,NA,NA,NA
Buteo_ventralis,NA,2,NA,1210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1285,1103,NA,NA,NA,NA,49.5,NA,NA,NA,NA,NA,NA,NA
Buteogallus_aequinoctialis,NA,1,NA,693.25,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,752.5,594.5,NA,NA,NA,NA,44.5,NA,NA,NA,NA,NA,NA,NA
Buteogallus_anthracinus,730,1.5,1,996,13.5,NA,NA,NA,NA,65,38.25,46.5,13.5,730,NA,1199,793,972.5,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA
Buteogallus_coronatus,NA,1,NA,2950,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,2950,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA
Buteogallus_gundlachii,730,1.5,1,945,13.5,NA,NA,NA,NA,65,38.25,46.5,13.5,730,NA,1199,793,972.5,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA
Buteogallus_meridionalis,NA,1,NA,808,NA,NA,NA,NA,NA,74.25,NA,NA,NA,NA,NA,893.4,849,808,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA
Buteogallus_schistaceus,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buteogallus_solitarius,NA,1,NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buteogallus_urubitinga,NA,1.2,NA,1230,NA,NA,NA,NA,NA,79.5,NA,NA,NA,NA,NA,1248,1065,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA
Chelictinia_riocourii,NA,4,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,35.5,NA,NA,NA,NA,NA,NA,NA
Chondrohierax_uncinatus,NA,2,NA,288.75,NA,NA,NA,NA,NA,48.8,NA,NA,NA,NA,NA,310,264,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA
Chondrohierax_wilsonii,NA,2,NA,288.75,NA,NA,NA,NA,NA,48.8,NA,NA,NA,NA,NA,310,264,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA
Circaetus_beaudouini,1274.436,1,1,1717.25,17.3,NA,NA,90,NA,136,46.5,72.5,17.3,1095,NA,1774.5,1664,2970,NA,NA,NA,64.5,NA,NA,NA,NA,NA,NA,NA
Circaetus_cinerascens,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA
Circaetus_cinereus,NA,1,NA,2048,6.8,NA,NA,100,NA,139,52.5,104.5,6.8,NA,NA,NA,NA,2048,NA,NA,NA,74.5,NA,NA,NA,NA,NA,NA,NA
Circaetus_fasciolatus,NA,1,NA,1021.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,938.5,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA
Circaetus_gallicus,1274.436,1,1,1717.25,17.3,NA,NA,90,NA,136,46.5,72.5,17.3,1095,NA,1774.5,1664,2970,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA
Circaetus_pectoralis,1274.436,1,1,1717.25,17.3,NA,NA,90,NA,136,46.5,72.5,17.3,1095,NA,1774.5,1664,1750,NA,NA,NA,66.5,NA,NA,NA,NA,NA,NA,NA
Circus_aeruginosus,819.335,4.75,1,607,20.1,NA,NA,26.5,NA,40,34.5,37.5,18.2,730,NA,741.5,552.5,584.5,NA,NA,NA,48.5,NA,NA,NA,NA,NA,NA,NA
Circus_approximans,NA,3.77,NA,752.5,18,NA,NA,NA,NA,40,NA,NA,17.25,NA,NA,870,640,750,NA,NA,NA,54.5,NA,NA,NA,NA,NA,NA,NA
Circus_assimilis,NA,3,NA,521.25,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,654.25,465,NA,NA,NA,NA,55.5,NA,NA,NA,NA,NA,NA,NA
Circus_buffoni,NA,3.75,NA,519.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,612.5,423.5,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA
Circus_cinereus,NA,3.75,NA,468.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,471.25,337,NA,NA,NA,NA,43.5,NA,NA,NA,NA,NA,NA,NA
Circus_cyaneus,584.4,4.5,1,436.5,17.1,NA,NA,21.8,NA,31,31,36.25,16.74983333,365,NA,522.5,346,436.5,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA
Circus_hudsonius,584.4,4.5,1,436.5,17.1,NA,NA,21.8,NA,31,31,36.25,16.41666667,365,NA,522.5,346,436.5,NA,NA,NA,45.75,NA,NA,NA,NA,NA,NA,NA
Circus_macrosceles,NA,4,NA,655.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,711.5,600,NA,NA,NA,NA,48.5,NA,NA,NA,NA,NA,NA,NA
Circus_macrourus,726.936,4.5,1,383.5,13.5,NA,NA,NA,NA,28,29.5,40,13.4585,NA,NA,445,327,367.5,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA
Circus_maillardi,NA,4,NA,655.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,711.5,600,NA,NA,NA,NA,48.5,NA,NA,NA,NA,NA,NA,NA
Circus_maurus,NA,3.5,NA,532,NA,NA,NA,NA,NA,33,35,NA,NA,NA,NA,NA,NA,532,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA
Circus_melanoleucos,-30258.711,4.5,1,375,NA,NA,NA,NA,NA,28,31,40,NA,NA,NA,422.5,292.5,NA,NA,NA,NA,46.5,NA,NA,NA,NA,NA,NA,NA
Circus_pygargus,819.335,4.25,1,315.5,16.3,NA,NA,NA,NA,24,29.25,37.5,16.23333333,730,NA,376,264,315.5,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
Circus_ranivorus,NA,3.565,NA,494.5,NA,NA,NA,21,NA,32.75,34,38.5,NA,NA,NA,NA,423,519.5,NA,NA,NA,46.5,NA,NA,NA,NA,NA,NA,NA
Circus_spilonotus,NA,4.6,NA,562.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,622.25,502.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Circus_spilothorax,NA,4.6,NA,562.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,622.25,502.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clanga_clanga,1453.872,2,1,1934.65,NA,NA,NA,NA,NA,110,42.5,62.5,NA,NA,NA,2405,1751.5,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA
Clanga_hastata,1272.138,2,1,1431.666667,26.1,NA,NA,58,NA,87.5,42.5,58,24.2,NA,NA,1643.75,1269.25,1417.5,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA
Clanga_pomarina,1272.138,2,1,1431.666667,26.1,NA,NA,58,NA,87.5,42.5,58,24.2,NA,NA,1643.75,1269.25,1417.5,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA
Cryptoleucopteryx_plumbea,NA,NA,NA,482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elanoides_forficatus,NA,2,1,442.625,NA,NA,NA,NA,NA,36.75,28,40.5,NA,NA,NA,536,493.5,417.75,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA
Elanus_axillaris,NA,3.75,NA,265.5,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,293,249,260,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA
Elanus_caeruleus,363.468,3.5,1.5,248,6,NA,NA,NA,NA,21,26,32.5,6,NA,NA,268,237,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA
Elanus_leucurus,726.936,4,1.5,311.65,6,NA,NA,17.4,NA,23.9,30,37.25,5.9,NA,NA,317.75,274,383,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA
