Species,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,male_maturity_d,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d
Podogymnura_aureospinula,NA,NA,NA,229.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.55,NA,NA,NA,NA,NA,NA,NA
Podogymnura_truei,NA,NA,NA,1639.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.256,NA,NA,NA,NA,NA,NA,NA
Dendrohyrax_arboreus,365,1.755,NA,2981.11,13.6,229,152.04,380,NA,NA,NA,NA,12.3,365,1,NA,NA,NA,NA,NA,NA,53.4995,NA,NA,NA,NA,NA,NA,NA
Dendrohyrax_dorsalis,422.36094,1.36,NA,2663.335,10,224.811,NA,218,NA,NA,NA,NA,7.75,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA
Heterohyrax_brucei,498.708,1.89,1,2000,14,228.21,129.04,225,NA,NA,NA,NA,12.8625,NA,0.999315537,NA,NA,2350,NA,NA,NA,51.4495,NA,NA,NA,NA,NA,NA,NA
Procavia_capensis,500,2.44,1,2750,14.80833333,226.44942,88.25758,218.59,500,NA,NA,NA,14,500,0.999315537,NA,2025,2458,NA,NA,NA,50.8685,NA,NA,19.15,NA,NA,NA,NA
Brachylagus_idahoensis,254.50056,5.905,2.25,431.19,4.325,33.03902,NA,18.75,NA,NA,NA,NA,4.325,NA,0.106776181,NA,NA,NA,NA,NA,NA,27.255,NA,NA,7.2,NA,NA,NA,NA
Bunolagus_monticularis,NA,1.11,NA,1500.005,4.825,NA,NA,43.71,NA,NA,NA,NA,4.825,NA,NA,NA,NA,NA,NA,NA,NA,50.5,NA,NA,NA,NA,NA,NA,NA
Caprolagus_hispidus,NA,3.46,2.655,2498.495,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.0115,NA,NA,NA,NA,NA,NA,NA
Lepus_alleni,730.464,2.085,3.5,3306,NA,43.822,53.263,150.05,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.7995,NA,NA,13.872,NA,NA,NA,NA
Lepus_americanus,259.435506,3.41,2.55,1565.61,8,36.85096,21.53388,65.9,401.45,NA,NA,NA,5.408333333,NA,0.101300479,NA,NA,NA,NA,NA,NA,44.2245,NA,NA,15.37,NA,NA,NA,NA
Lepus_arcticus,308.92008,3.96,2.07,3030.43,18,50.2194,23.13136,107.93,491.995,NA,NA,NA,10.1125,NA,0.136892539,NA,NA,3014.5,NA,NA,NA,57.199,NA,NA,NA,NA,NA,NA,NA
